id,title,link,publication_date,video_length,disassembly_duration,who_disassembles,manufacturer,car_model,battery_system_design,required_tools,traceability,connections_binders,charged,destructive_process,reassembly_possible,components_disassembled,difficulties
1,2013 Chevrolet Volt EV Battery Disassembly,https://www.youtube.com/watch?v=r2HwxU_vgpo,2018-10-20,00:18:23,Time lapse,Trained technician,Chevrolet,Volt,z,"Cordless screwdriver, wrench, screwdriver","Video is partly a bit blurry, dark, sometimes you can see only sections","Screws, also housing only screwed, plug connections","unknown, voltage is measured during the disassembly process",No,Yes,Only in the individual modules,Battery pack very heavy
2,BMW I3 Batterypack teardown,https://www.youtube.com/watch?v=la0zs9Oa4HM,2020-09-16,00:04:59,Time lapse,Private individual,BMW,i3,"8 modules with 12 cells each, incl. main control unit, cooling system",Cordless screwdriver,"Well comprehensible, decomposition only down to module level, time lapse","Screws (also housing only screwed), plug connections",Voltage present on cells,No,"Yes, is planned by the maker","Only in modules, cladding of one module is still being removed",Not visible
3,THE BREAKDOWN || Disassembling an EV Battery Pack,https://www.youtube.com/watch?v=rzvECfvGBI4,2020-10-10,00:01:02,Time lapse,Battery packs dealer,unknown,unknown,Not recognizable,Cordless screwdriver,"Bad, only short clips, video starts in the middle of the process, cladding of the pack is already off, rather promotional video","Screws, plug connections",unknown,No,Yes,Only in modules,Not visible
4,DIY Powerwall Project Pt.1: Nissan Leaf Battery Disassembly! (Case Separation) (3 parts),https://www.youtube.com/watch?v=sjvU9sItfDw,2018-03-12,00:04:00,Time lapse,Private individual,Nissan,Leaf,Several modules (min. 8) in pack with housing,"Cordless screwdriver, crowbar, pliers, carpet knife, gloves protecting against electricity","Well comprehensible, including explanations of the technician","Screws, bonding",Voltage present on cells,No,Yes,Into individual cells,"Difficulties in opening the case, strong adhesions"
5,DIY Powerwall Project Pt.2: Nissan Leaf Battery Disassembly Continued (3 parts),https://www.youtube.com/watch?v=gm-33kbougQ,2018-03-13,00:01:42,Time lapse,Private individual,Nissan,Leaf,Several modules (min. 8) in pack with housing,"Cordless screwdriver, crowbar, pliers, carpet knife, gloves protecting against electricity","Well comprehensible, including explanations of the technician","Screws, bonding",Voltage present on cells,No,Yes,Into individual cells,"Difficulties in opening the case, strong adhesions"
6,DIY Powerwall Project Pt.3: Nissan Leaf Battery Disassembly continued (3 parts),https://www.youtube.com/watch?v=bBY0ljeVLQ,2018-03-17,00:02:36,Time lapse,Private individual,Nissan,Leaf,Several modules (min. 8) in pack with housing,"Cordless screwdriver, crowbar, pliers, carpet knife, gloves protecting against electricity","Well comprehensible, including explanations of the technician","Screws, bonding",Voltage present on cells,No,Yes,Into individual cells,"Difficulties in opening the case, strong adhesions"
7,2010-2015 Prius Hybrid Battery Disassembly and reassembly,https://www.youtube.com/watch?v=uZLi2NVTNvw,2017-07-14,00:32:04,unknown,Car repair shop employee,Toyota,Prius,"Hybrid: battery smaller, only one module with multiple cells","Cordless screwdriver, wrench, screwdriver","Quite good, but HYBRID","Screws, plug connections",unknown,No,"Yes, is also made in the second part of the video",Into individual cells,Not visible
8,"Nissan Leaf, NV200 24kWh EV-Battery Tear Down Disassembly",https://www.youtube.com/watch?v=Dah-UB3d2_8,2018-03-18,00:07:10,Time lapse,Private individual,Nissan,Leaf,"Several modules (min. 7) of different size, in housing","Cordless screwdriver, crowbar, screwdriver","Relatively good, sometimes filters stand in the picture, no explanations, only disassembly","Screws, bonding, plug-in connections",unknown,No,Yes,Into individual cells,"Difficulties in opening the case, strong adhesions"
9,9 Junkyard Electric Truck- Battery Pack Disassembly,https://www.youtube.com/watch?v=IM7TBUlSDAk,2019-05-24,00:09:03,Time lapse,Private individual,unknown,"Truck, kleiner LKW","In battery pack are several large batteries, no modules with cells, 2 levels in battery pack","Cordless screwdriver, wrench, pliers","Battery from Truck, only conditionally usable","Screws, plug connections",unknown,No,Yes,Into individual cells,Not visible
10,Demontage der Chevrolet Bolt EV-Batterie,https://www.youtube.com/watch?v=sU2mjNi_Q,2018-02-20,01:36:10,Partly time lapse,Weber State University,Chevrolet,Bolt,"5 Battery sections (+ 2 modules side by side, flat design, 3 sections side by side and 2 on top of each other, orange 'Bus bars': High Voltage, black cables: low voltage)","Cordless screwdriver, system for removal of coolant (vacuum pump)",Comprehensive process with labels of the individual steps in the video,"Screws, plug connections",Yes,No,Yes,"2 wire connector, charger connector, battery disconnect relay center, internal coolant hoses, Battery Energy Control Module, internal wire harnesses, Service Disconnect lever connector, Bus bars, Covers, Battery sections, Cooling plate, Cross braces, insulation pads, connector",Not visible
11,2021 Volkswagen ID.4: Battery Teardown,https://www.youtube.com/watch?v=1hPe82cGLOE,2021-05-28,00:12:36,"No real disassembly, only explanation; some screws had already been removed",Munro & Associates,Volkswagen,ID.4,"Flat, two rows of six modules each, connections in the middle",Screws,"No real disassembly, only explanation; some screws had already been removed",Screws,unknown,No,unknown,"No real disassembly, only explanation; some screws had already been removed",Not visible
12,Renault Zoe Battery Disassembly - LG Chem Modules - DIY EV Powerwall Solar,https://www.youtube.com/watch?v=YU_qfD5825k,2020-12-20,00:06:25,"No disassembly to be seen, individual parts are shown and assembly explained in detail",Private individual,Renault,Zoe,"Flat, two rows of six modules each at the end, modules with 16 cells each","Screwdriver, other",Process not seen,"Screws, else unknown",unknown,No,Yes,"Individual modules, larger cables, bus bars",Not visible
13,BMW i8 Battery Teardown | Batterie Upgrade? | ESDI EV,https://www.youtube.com/watch?v=WUYXuLcNbVQ,2021-08-08,00:10:09,"Loosening of the cover in time lapse, opening of the module with disassembly of the bus bars approx. 1 min",ESDI EV Technologies,BMW,i8,"Connection for cooling, always two modules on top of each other (connected in series), 96 cells connected in series, sensors on top, battery management system (BMU)","Screwdriver, cordless screwdriver","Opening of the battery and a module can be seen, no complete disassembly; explanation of components","Screws, plug connection for covering the module",unknown,No,Yes,"Cover battery, module opened, not disassembled",Not visible
14,"Volkswagen Electric Vehicle Battery Recycling Plant, Salzgitter, Germany",https://www.youtube.com/watch?v=nJJdmsCjFuc,2021-02-01,00:07:12,Only short section with opening and removal of the module,Recycling plant employees,Volkswagen,unknown,"Flat, 10 modules (5 side by side)","Torque wrench, screwdriver, crane","Opening of the battery and removal of a module can be seen, then the module is shredded (for recycling)",Screws,unknown,Yes,No,"Modules removed and shredded, then sorted into individual materials and recycled","Modules heavy, must be lifted by crane or by two people"
15,What's Inside a Tesla Model S Battery Pack - World's FIRST Tesla Swapped Nissan 350Z - Part 9,https://www.youtube.com/watch?v=ENuBuuPIsI8,2020-05-29,00:37:38,"Approx. 20 min to remove the cover, disassembly of the modules 'long process'",Several people from car repair shop or similar,Tesla,Model S,"Flat, cooling on one side, 14+1 modules (1 module on the side of the cooling), cooling connections on the side of the modules","Device with hoses for cooling, cordless screwdriver, hammer, screwdriver, crowbar","Extensive explanations, disassembly can be seen in time lapse, steps can be followed well",Various screws,Charged,Yes (removal of the covers with crowbars),"Modules yes, covers not","Covers, modules; modules then only opened and circuit board removed/replaced, but not further disassembled","Importance of sucking out the cooling is emphasised, because in the further course otherwise the cooling liquid leaks out"
16,Tesla Battery Teardown,https://www.youtube.com/watch?v=UOi8m9m2Y MI,2018-01-23,00:11:34,Untraceable as cuts are made and disassembly is aborted; very long process,Private individual,Tesla,Model S,Only module which is disassembled (weight: 25kg),"Knife, screwdriver, hammer, chisel, screwdriver",Well comprehensible,"Only one screw shown, otherwise covers with unknown connection (possibly glued or soldered); plastic glued to cells",unknown,Yes,No,"Covers, BMS, individual cells",Disassembly generally very difficult
17,Building an Electric Car - EV Parts - Nissan Leaf 40kWh Battery Pack Teardown,https://www.youtube.com/watch?v=Q4rHlcuRbgs,2020-04-05,00:25:59,"Not assessable, as time lapse",Private individual,Nissan,Leaf,"Modules above and next to each other, controller etc. next to them; several module sets of small modules","Insulating tape, screwdriver, torque wrench","Detailed explanation, but with time lapse","Screw connections, plug connections of the cables","Yes, but isolated",No,presumably yes,"Individual modules (very many), controller, BMS, cables, bus bars",Battery must be isolated in the first step
18,Smart Car High Voltage battery disassembly (Part 1),https://www.youtube.com/watch?v=zwYhI0FI-Xnk,2018-05-16,00:08:05,"No disassembly to see, only description",unknown,Smart,unknown,Three modules side by side,No information,BMS and other parts already removed before,No information,unknown,No,presumably yes,"BMS, bus bars",Not visible
19,Unprofessionals Guide to Opening a Tesla Battery Pack,https://www.youtube.com/watch?v=ZZVVRKxHyH8,2018-10-12,00:10:27,"Time lapse, but about two hours (is said in video)",Private individual,Tesla,unknown,"Flat design, two rows of seven modules next to each other","Pliers, cordless screwdriver, box cutter, 'crane' to remove the cover",Process up to the removal of the modules well comprehensible,"Many screws, cover glued or similar",unknown,Yes,"Cover no, cooling cable no",Removal of the modules shown,Removal of the cover only with crane
20,BMW i3 60Ah Battery Pack Disassembly,https://www.youtube.com/watch?v=LB6Wl8cRzgs,2019-12-15,00:09:21,Time lapse,Private individual,BMW,i3,"Flat design (not as flat as Tesla), two rows of four modules, twelve cells per module, one module weighs 25kg","Cordless screwdriver, pliers","One module a bit more detailed, rest in time lapse, but well comprehensible","Screws, plug connections for cables on the top side",unknown,No,Yes,Removal of the modules,Not visible
21,2018 40kWh Nissan Leaf Battery Disassembly,https://www.youtube.com/watch?v=gXC7STdQnlw,2019-11-13,00:06:19,"Time lapse, approx. 11h without tools",Private individual,Nissan,Leaf,"Modules above and next to each other, controller etc. next to them; several module sets of small modules","Cordless screwdriver, pliers, torque wrench",Well comprehensible,"Screws, plug connections",Yes,No,Yes,"Service Disconnector, BMS, Connections, Modules",Weight of the battery pack
22,TESLA MODEL S BATTERY TEARDOWN,https://www.youtube.com/watch?v=NpSrHZnCi-A,2017-02-24,00:09:01,Time lapse and cuts,Car repair shop?,Tesla,Model S,"Flat structure, two rows of seven modules side by side (+ two modules at one end?), 444 cells per module","Cordless screwdriver, forklift to move the whole battery, pliers","Overall rather rough, because cut","Many screws, cover glued or similar",Yes,Yes,No,Individual modules,"Removing the cover, draining the cooling water"
23,Disassembling the Best Built EV Battery in the World - BMW,https://www.youtube.com/watch?v=eKAQ3yeQ-Fw,2021-06-19,00:15:34,Time lapse,Private individual,BMW,Active E,"Multiple packs (modules in the video?), many modules (cells in the video?), over and next to each other, different sizes and different structure","Cordless screwdriver, Allen key (because too narrow for other tools)","Comprehensible, but not particularly detailed","Many different screws, connectors, glue",unknown,Yes (cover),Mostly yes,"Cables, covers, individual modules",Hidden screws
24,Fiat 500e - Teardown - episode #7 - Battery Pack,https://www.youtube.com/watch?v=ROu8T_ehdLA,2019-12-26,00:34:51,"Video cuts, much time since inexperienced",Private individual,Fiat,500e,"18 modules (six cells in an example module), side by side, pack with different 'stages'","Cordless screwdriver, insulated tool, crane","Comprehensible, detailed explanations, but cuts",Screws,Yes,No,Yes,"Control module, cooling system, individual modules, cables, pipes, service disconnect",Not visible
25,Fiat 500e - Teardown - episode #8 - Battery Module,https://www.youtube.com/watch?v=nH2EhIvey9M,2020-05-27,00:06:20,Video cuts,Private individual,Fiat,500e,5-cell and 6-cell modules,Hammer,"Comprehensible, disassembly limited to one cell",Welded joints,unknown,Yes,No,Removal of a cell from 6-cell module,Removing the cover
26,First TESLA Model 3 Battery Teardown by DIY EV Shop,https://www.youtube.com/watch?v=5n-sglwFrEs,2018-05-15,00:08:25,Only interesting aspects to see,Car repair shop?,Tesla,Model 3,"4 elongated modules, outer modules with 23 cell groups, inner modules with 25 cell groups (consisting of 46 cells); total 4416 cells","Cordless screwdriver, screwdriver",Only 'interesting' clips to see process not really comprehensible,Screws,unknown,Yes (cover),Mostly yes,Module,Not visible
27,Volvo Lithium Battery Tear Down for use in Off Grid Solar Power,https://www.youtube.com/watch?v=l3oIYYLbqx8,2021-05-01,00:14:51,No specification,Private individual,Volvo,XC90,"Cooling under the modules, six modules side by side (upright) with 16 cells each in series","Screwdriver, cordless screwdriver","Comprehensible, relatively easy to disassemble",Screws,Yes,No,Yes,Individual modules,Not visible
28,Outlander PHEV Battery Disassembly,https://www.youtube.com/watch?v=GF9fDbwF1K0,2017-04-27,00:15:35,Video cuts,Private individual,Mitsubishi,Outlander,"Flat structure with two rows and five modules per row, 80 cells in total",Wrench,"Traceable, one module detailed, rest with sections, cells on one module disassembled","Screws, plug connections",Yes,No,Yes,"Cables, bus bars, covers, modules, balancing units, single cells",Not visible
29,Miev Battery Pack Teardown,https://www.youtube.com/watch?v=hgRrw61lYU0,2018-12-21,00:09:29,Video cuts,Private individual,Mitsubishi,Miev,"Four cells per module, two modules each together, total 20 modules (10x2)",Wrench,"Many cuts, only rough process comprehensible",Screws,Yes,No,Yes,"Bus bars, covers, cables, modules",Not visible
30,Tesla Model 3 Battery Removal and Disassembly,https://www.youtube.com/watch?v=PvCOcBynIq0,2018-05-13,01:24:32,unknown,Car repair shop?,Tesla,Model 3,Four long modules side by side,Wrench,"Full version of video from video '2018 05-15' disassembly not really seen, only one module is lifted out of the battery",Only screws?,unknown,No,Probably yes,Only one module removed,"Heavy modules, several people needed to lift them out"
31,Citroen C-Zero Batterie Demontage,https://www.youtube.com/watch?v=eardvlE924k,2022-02-22,00:16:32,unknown/Cuts,Semi prof./Private individual,Citroen,C-Zero,"12 modules, 2 out of 12 have only 4 cells","Screwdriver, wrench",Battery has been disassembled before and partly reassembled; explanation of processes,"Screws, plugs (snap-fit), nuts",Yes,No,Probably yes,"Modul removal, other parts are not further disassembled; cables etc. are retrieved as one component together; disassembling sequence seems variable (modules could be removed quite early or as last part)",For same bus bar removals disassembling sequence is important for easier disassemble
32,Opel Corsa E / Peugeot 208 E (identical),https://www.youtube.com/watch?v=YmKjKowOhNw&feature=youtu.be,2022-02-04,00:06:51,Time Labs/Cuts,Semi prof./Private individual,Opel,Corsa-E,"belongs to videos 02-06, 02-09","Screwdriver, box cutter, manuel crane, heat gun, HV protecting gloves","One of several videos, explanation of conducted disassembling","Screws, plugs (snap-fit), nuts",Yes,Partly (cover),No (cover); partly inside,Upper cover,"Cover removal with manuel crane to hold tension, while cutting adhesive"
33,Opel Corsa E,https://www.youtube.com/watch?v=gc0v3u99x8w,2022-02-06,00:19:31,Time Labs/Cuts,Semi prof./Private individual,Opel,Corsa-E,"one module in front behind connectors etc., followed by 6 more modules (3 rows of 2); in the middle no modules (cables and box maybe with relais); one behind relais, then four modules in two layers vertically; two modules laying on the side and four more 'normal' next to each other; 2 BMC (?) on top of higher set modules","Screwdriver, side cutters, drilling machine, manual crane, hammer","Process of removing cover and use of several tools can be seen, disassembly duration cannot be documented","Screws, plugs (snap-fit), nuts",Yes,"No (cover, partly inside)","No (cover), partly inside",Details of opening the cover (video 2022-02-04); top cover is split in two parts,"Cover removal with manual crane to hold tension, while cutting adhesive; lifting of modules with two persons by hand"
34,Opel Corsa E,https://www.youtube.com/watch?v=cmE2FzuIIxU,2022-02-09,00:11:15,Time Labs/Cuts,Semi prof./Private individual,Opel,Corsa-E,"belongs to video 02-04, 02-06, 02-17","Cutters, drilling machine, manual crane, hammer, ratchet with extension","Explanation of process, comprehensive but not detailed","Screws, plugs (snap-fit), nuts",Yes,No (cover was removed before),Yes (cover was removed before),"Disassembling sequence seems to allow disassembling from single modules without having to disassemble all bus bars etc ('repair friendly'?); cables, interference/security","Four modules in back can be removed together with crane (?); thoughts by disassembler, but screw at the bottom of cover does not allow this"
35,Opel Corsa E,https://www.youtube.com/watch?v=3n-EGtacOdU,2022-02-17,00:26:00,Time Labs/Cuts,Semi prof./Private individual,Opel,Corsa-E,"belongs to video 02-04, 02-06, 02-09","Screwdriver, side cutters, drilling machine, manual crane, hammer, ratchet with extension","Explanation of process, comprehensive but not detailed","Screws, plugs (snap-fit), nuts",Yes,No (cover was removed before),Yes (cover was removed before),"Continuing disassembly, relais etc. are removed as well, mostly nut and screw connection together with snap-fits, modules in the back are connected with metal frames","Cooling plates still contained water, although system was emptied before; can be a problem if cells are still included"
